SQL> start Q1.sql
Chambers                  manager                  500000                       
Cuba                      supervisor               800000                       
DeGuzman                  director                 100000                       
Fenn                      manager                  500000                       
Fiscus                    supervisor               800000                       
Ford                      clerk                     95000                       
Gray                      manager                  500000                       
Hanson                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jabbour                   manager                  500000                       
Jarrett                   director                 100000                       
Jean-Pierre               supervisor               800000                       
Kelly                     advisor                  130000                       
Watkins                   assistant                600000                       
Young                     advisor                  130000                       
Markovitz                 supervisor               800000                       
Monteiro                  manager                  500000                       
Neiman                    director                 100000                       
Offerman                  assistant                600000                       
Olson                     manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Pate                      assistant                600000                       
Rivadeneira               assistant                600000                       
Sabochik                  supervisor               800000                       
Shah                      manager                  500000                       
Strautmanis               advisor                  130000                       
Tucci                     manager                  500000                       
Bassin                    advisor                  130000                       
Burman                    advisor                  130000                       
Douglas                   supervisor               800000                       
Dyer                      assistant                600000                       
Firestone                 assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hennigan                  manager                  500000                       
Jamison                   assistant                600000                       
King                      manager                  500000                       
Leger                     clerk                     95000                       
Lorjuste                  clerk                     95000                       
Witt                      director                 100000                       
Mehrbani                  assistant                600000                       
Moilanen                  supervisor               800000                       
Northern                  advisor                  130000                       
Reeves                    manager                  500000                       
Saunders                  supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sinha                     assistant                600000                       
Verrilli                  supervisor               800000                       
Attili                    advisor                  130000                       
Bernard                   assistant                600000                       
Burton                    supervisor               800000                       
Castillo                  director                 100000                       
Conrad                    manager                  500000                       
Donovan                   advisor                  130000                       
Fernkas                   manager                  500000                       
Freeman                   assistant                600000                       
Goodman                   advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Jarvis                    clerk                     95000                       
Jung                      advisor                  130000                       
Kumar                     assistant                600000                       
Ledbetter                 advisor                  130000                       
Walsh                     supervisor               800000                       
Luck                      director                 100000                       
Mastromonaco              assistant                600000                       
Millett                   director                 100000                       
Odintz                    director                 100000                       
Roddick                   director                 100000                       
Setser                    supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Sobel                     director                 100000                       
Stracko                   director                 100000                       
Vale                      supervisor               800000                       
Vega                      director                 100000                       
Baggetto                  supervisor               800000                       
Block                     supervisor               800000                       
Bookey-Baker              clerk                     95000                       
Campbell                  assistant                600000                       
Cushman                   director                 100000                       
Fergenson                 supervisor               800000                       
Gibbs                     assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Hable                     assistant                600000                       
Hitchcock                 supervisor               800000                       
Keenan                    manager                  500000                       
Kohnke                    supervisor               800000                       
Weiser                    manager                  500000                       
Whitty                    manager                  500000                       
Wong                      manager                  500000                       
Alley                     assistant                600000                       
McGuire                   clerk                     95000                       
Favreau                   assistant                600000                       
Cobbina                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Brooke                    advisor                  130000                       

419 rows selected.

SQL> start Q2.sql

Function created.

No errors.

CALCSALARYRAISE('STONE',2)                                                      
--------------------------                                                      
                      2600                                                      


NAME                      TITLE                CURRENTSALARY  NEWSALARY         
------------------------- -------------------- ------------- ----------         
Stone                     advisor                     130000       2600         

SQL> start Q2Edit.sql

Function created.

No errors.

CALCSALARYRAISE('STONE',2)                                                      
--------------------------                                                      
                      2600                                                      


NAME                      TITLE                CURRENTSALARY  NEWSALARY         
------------------------- -------------------- ------------- ----------         
Stone                     advisor                     130000       2600         


CALCSALARYRAISE('DISIDJ',2)                                                     
---------------------------                                                     
                                                                                


Function created.

No errors.

CALCSALARYRAISE('DISIDJ',2)                                                     
---------------------------                                                     
                          0                                                     

No employee with given name found!                                              
SQL> start Q3.sql

Table created.


Function created.

No errors.

COUNTBYTITLE('DIRECTOR')                                                        
------------------------                                                        
                      85                                                        


COUNTBYTITLE('ADVISOR')                                                         
-----------------------                                                         
                     44                                                         

SQL> start Q4.sql

Procedure created.

No errors.

PL/SQL procedure successfully completed.


TITLE                  EMPCOUNT LASTMODIF                                       
-------------------- ---------- ---------                                       
advisor                      44 06-MAY-19                                       
director                     85 06-MAY-19                                       
assistant                    88 06-MAY-19                                       
manager                      85 06-MAY-19                                       
supervisor                   89 06-MAY-19                                       
clerk                        28 06-MAY-19                                       

6 rows selected.

SQL> start Q5.sql

Trigger created.

No errors.

1 row created.


TITLE                  EMPCOUNT LASTMODIF                                       
-------------------- ---------- ---------                                       
advisor                      46 06-MAY-19                                       
director                     85 06-MAY-19                                       
assistant                    88 06-MAY-19                                       
manager                      85 06-MAY-19                                       
supervisor                   89 06-MAY-19                                       
clerk                        28 06-MAY-19                                       

6 rows selected.

SQL> start Q6.sql

Trigger dropped.


Trigger created.

No errors.

1 row deleted.


TITLE                  EMPCOUNT LASTMODIF                                       
-------------------- ---------- ---------                                       
advisor                      45 06-MAY-19                                       
director                     85 06-MAY-19                                       
assistant                    88 06-MAY-19                                       
manager                      85 06-MAY-19                                       
supervisor                   89 06-MAY-19                                       
clerk                        28 06-MAY-19                                       

6 rows selected.

SQL> start Q7.sql

Table created.


1 row created.


1 row created.


1 row created.


1 row created.


1 row created.


1 row created.


1 row created.


1 row created.


1 row created.


1 row created.


1 row created.


1 row created.


Trigger created.

No errors.

CMONTH                   CTOTAL                                                 
-------------------- ----------                                                 
January                       0                                                 
February                      0                                                 
March                         0                                                 
April                         0                                                 
May                           0                                                 
June                          0                                                 
July                          0                                                 
August                        0                                                 
September                     0                                                 
October                       0                                                 
November                      0                                                 

CMONTH                   CTOTAL                                                 
-------------------- ----------                                                 
December                      0                                                 

12 rows selected.


1 row created.


1 row created.


CMONTH                   CTOTAL                                                 
-------------------- ----------                                                 
January                       0                                                 
February                      0                                                 
March                         0                                                 
April                         0                                                 
May                         170                                                 
June                          0                                                 
July                          0                                                 
August                        0                                                 
September                     0                                                 
October                       0                                                 
November                      0                                                 

CMONTH                   CTOTAL                                                 
-------------------- ----------                                                 
December                      0                                                 

12 rows selected.

SQL> spool off
